,t1,w0,i,s,tout,rh,m0,sp0,m1,sp1,m2,sp2,m3,sp3,m4,sp4
0,20.10941134574198,18.13256642758726,10247.059048438321,0.0,-2.575,105301.70349106324,1.0,24.860000000000007,0.20000000000000004,22.54,0.20000000000000004,24.740000000000006,0.20000000000000004,24.33,0.3148859038958488,22.09
1,20.136660078093882,18.158621933492004,10247.059048438321,0.0,-3.45,107694.33678698904,0.9999999999999996,23.319999999999997,0.2,24.299999999999994,0.1999999999999999,25.699999999999992,0.1999999999999999,25.16999999999999,0.321750145307454,24.82999999999999
2,20.138223701674704,18.169644620097664,10247.059048438321,0.0,-4.324999999999998,110116.21490178088,1.0,23.37,0.20000000000000004,25.3,0.2,23.77,0.2,23.7,0.3288444476397773,24.48
3,20.112188127933077,18.181122459233972,10247.059048438321,0.0,-5.2,112561.0164027632,1.0000000000000004,22.09000000000001,0.20000000000000012,23.710000000000008,0.20000000000000007,24.19000000000001,0.20000000000000007,24.99000000000001,0.33592807028804883,23.38000000000001
4,20.067689171730294,18.18723720555366,10247.059048438321,0.0,-6.074999999999998,115023.4949902012,1.0,23.41,0.20000000000000004,25.41,0.2,25.41,0.2,23.28,0.3427815728174198,25.17
5,19.97168233279362,18.188903964065993,10247.059048438321,0.0,-6.949999999999998,117499.19396102002,1.0,25.52,0.20000000000000004,25.3,0.2,25.59,0.2,24.89,0.350345965019784,23.2
6,19.868820631288404,18.18929837226361,10247.059048438321,0.0,-7.825,120021.6648552384,1.0,24.88,0.20000000000000004,24.93,0.2000610374196009,24.66,0.2,23.49,0.3579145064501384,25.08
7,19.804010710385057,18.182399424835825,10247.059048438321,0.0,-8.7,122682.04285937731,1.0,24.07,0.20000000000000004,24.410000000000004,0.2053716280093621,24.450000000000006,0.20000000000000004,23.060000000000006,0.3652736173492088,24.450000000000006
8,19.664540971402815,18.17067651868065,10247.059048438321,0.0,-9.575,125439.02053397514,1.0,23.81,0.20000000000000004,23.960000000000008,0.21101172054678036,23.56,0.20000000000000004,25.8,0.3733529443536187,25.8
9,19.594083299035695,18.152907033040403,10247.059048438321,0.0,-10.45,128222.71719082989,1.0,25.87,0.20000000000000004,22.49,0.21691117402020324,25.31,0.2,22.64,0.3813098259756593,23.4
10,19.22381178245356,18.136156222567912,10247.059048438321,0.0,-11.325,181277.58089480808,1.0,23.160000000000004,1.0,23.290000000000006,1.0,23.000000000000004,0.20000000000000004,23.6,1.0,25.950000000000006
11,18.521746020587273,18.122663408788775,10247.059048438321,0.0,-12.2,183099.50083069355,1.0,25.300000000000008,1.0,25.090000000000003,1.0,22.54,0.20000000000000004,22.29,1.0,23.5
12,18.41291276107338,18.086726614533525,10247.059048438321,0.0,-12.158333333333333,183026.7402663497,1.0,25.52,1.0,25.55,1.0,23.3,0.2,23.39,1.0,25.68
